time,weathercode,temperature_2m_max,temperature_2m_min,precipitation_sum,month-day
2023-08-05,63,18.7,12.7,12.5,805
2023-06-26,3,19.5,14.2,0.0,626
2023-06-15,3,24.7,15.8,0.0,615
2023-05-29,3,17.0,8.7,0.0,529
2023-08-16,51,22.2,12.0,0.1,816
2023-09-23,3,15.6,7.6,0.0,923
2023-10-19,55,16.6,13.2,6.0,1019
2023-06-30,51,18.0,12.1,1.4,630
2023-06-14,3,25.1,12.5,0.0,614
2023-09-02,51,21.7,12.7,0.4,902
2023-08-30,51,18.3,10.9,0.3,830
2023-09-24,51,19.1,15.0,1.0,924
2023-06-20,63,21.0,14.7,9.9,620
2023-07-20,51,18.6,11.3,1.1,720
2023-07-06,51,19.1,11.9,0.1,706
2023-08-06,51,18.2,10.8,0.8,806
2023-09-04,0,27.1,15.2,0.0,904
2023-08-24,51,21.3,13.7,0.1,824
2023-09-09,3,27.6,17.6,0.0,909
2023-05-20,3,17.6,8.6,0.0,520
2023-06-27,53,20.0,14.1,1.1,627
2023-08-12,53,20.1,14.8,1.7,812
2023-07-14,63,18.7,14.5,18.8,714
2023-06-28,53,21.9,16.9,1.4,628
2023-06-01,3,18.8,9.5,0.0,601
2023-08-27,51,17.5,11.1,0.5,827
2023-08-15,51,20.7,13.0,0.8,815
2023-08-25,61,17.5,10.3,3.6,825
2023-07-01,51,19.6,14.3,0.1,701
2023-09-11,51,21.6,16.4,0.5,911
2023-10-03,3,16.3,11.9,0.0,1003
2023-07-03,51,18.3,12.2,0.8,703
2023-08-01,61,18.8,13.6,3.0,801
2023-06-18,61,22.1,15.3,5.6,618
2023-09-05,0,27.3,15.0,0.0,905
2023-08-23,51,22.2,13.0,0.5,823
2023-09-03,3,23.7,12.8,0.0,903
2023-07-25,51,18.5,10.9,0.2,725
2023-10-18,63,13.2,11.0,20.5,1018
2023-06-21,51,21.6,14.0,1.4,621
2023-06-07,2,20.8,9.4,0.0,607
2023-10-17,51,13.7,8.8,0.1,1017
2023-09-16,61,19.4,13.4,9.9,916
2023-09-19,53,18.7,14.2,1.7,919
2023-09-08,51,27.8,18.7,0.1,908
2023-08-04,53,18.2,13.2,0.8,804
2023-08-28,51,17.9,11.5,0.4,828
2023-10-04,51,16.3,12.2,0.2,1004
2023-09-15,3,20.8,12.8,0.0,915
2023-08-21,51,21.4,13.2,0.1,821
2023-08-10,51,25.0,14.3,0.1,810
2023-08-03,53,19.0,14.5,1.3,803
2023-10-14,51,12.6,7.0,0.1,1014
2023-10-13,63,18.5,9.5,25.0,1013
2023-09-30,3,17.4,10.8,0.0,930
2023-06-19,51,22.1,14.3,0.4,619
2023-07-13,51,19.1,14.0,0.4,713
2023-07-23,51,19.7,14.7,0.8,723
2023-06-25,2,25.8,15.2,0.0,625
2023-07-08,63,22.5,15.8,9.8,708
2023-09-21,63,16.1,9.9,5.8,921
2023-08-26,61,17.6,12.0,7.7,826
2023-07-09,53,20.8,13.3,2.5,709
2023-07-02,3,17.7,12.4,0.0,702
2023-05-21,3,18.6,7.3,0.0,521
2023-08-22,3,20.3,14.2,0.0,822
2023-07-17,51,18.3,12.5,0.5,717
2023-09-12,53,20.7,14.7,1.0,912
2023-07-11,55,19.4,14.3,2.4,711
2023-10-16,3,11.9,4.0,0.0,1016
2023-08-02,61,18.6,15.2,10.6,802
2023-06-17,53,22.8,16.2,4.7,617
2023-07-15,63,17.5,14.8,19.5,715
2023-06-13,2,26.0,16.2,0.0,613
2023-07-16,53,17.7,13.4,2.0,716
2023-07-21,51,18.9,9.4,0.5,721
2023-05-25,3,18.9,10.0,0.0,525
2023-06-22,51,22.7,13.7,0.7,622
2023-05-27,0,19.6,7.4,0.0,527
2023-09-18,55,17.2,14.1,1.7,918
2023-05-28,3,20.1,10.6,0.0,528
2023-08-17,51,22.7,14.0,0.1,817
2023-09-14,3,19.2,13.8,0.0,914
2023-07-27,51,20.4,16.2,0.5,727
2023-05-19,53,17.2,10.3,1.8,519
2023-07-05,51,17.6,10.8,0.2,705
2023-08-11,51,22.1,15.6,0.4,811
2023-05-26,1,18.4,9.4,0.0,526
2023-05-30,3,18.0,7.8,0.0,530
2023-06-03,1,20.1,7.7,0.0,603
2023-09-26,53,19.0,11.8,2.0,926
2023-06-04,0,20.7,9.3,0.0,604
2023-06-08,1,22.0,9.1,0.0,608
2023-10-02,61,18.2,13.2,13.5,1002
2023-08-07,51,18.2,9.3,0.1,807
2023-09-01,51,20.1,13.3,0.4,901
2023-07-12,51,19.0,13.5,1.2,712
2023-07-31,53,18.0,15.0,3.5,731
2023-08-18,55,21.0,16.7,9.8,818
2023-06-16,3,25.2,13.9,0.0,616
2023-08-08,53,18.2,12.7,2.2,808
2023-06-06,3,17.6,10.2,0.0,606
2023-05-22,3,20.0,8.6,0.0,522
2023-08-20,51,21.6,14.7,0.9,820
2023-07-19,51,20.7,14.5,0.8,719
2023-07-24,53,18.2,13.1,1.8,724
2023-06-09,1,24.7,11.0,0.0,609
2023-07-22,61,16.1,13.5,15.2,722
2023-06-24,51,24.3,16.7,0.6,624
